,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
0,4850000,720,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,4500000,600,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
2,6700000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
3,4500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
4,5000000,665,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
5,17000000,2000,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
6,12500000,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0
7,10500000,1370,Sector-13 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
8,10500000,1356,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
9,15000000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
10,8700000,980,Kharghar,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1
11,9000000,1000,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0
12,11000000,1060,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
13,10500000,1095,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1
14,9700000,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
15,10500000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
16,8000000,1250,Sector 18 Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0
17,8500000,990,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
18,9300000,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
19,9900000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1
20,8000000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
21,9000000,1060,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
22,4200000,680,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
23,28000000,2470,Kharghar,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1
24,40000000,2100,Kharghar,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0
25,16000000,2200,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
26,17000000,2235,Kharghar,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1
27,9500000,1025,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
28,9500000,950,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
29,7500000,895,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
30,8500000,1114,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
31,13000000,1197,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
32,13700000,1380,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
33,8000000,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
34,10500000,1240,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
35,7700000,1110,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
36,7500000,1050,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
37,9000000,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1
38,6000000,555,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
39,6200000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
40,5000000,600,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0
41,6500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
42,5200000,700,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
43,4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
44,5500000,560,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
45,5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
46,6000000,740,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
47,5500000,636,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
48,4200000,680,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
49,16500000,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,0,1
