| Component         | Quantity      |
| ------------------| ------------- |
| Arduino UNO       |  1            |
| Breadboard        |  1            |
| Connecting Wires  | 38            |
| LCD               |  1            |
| Potentiometer     |  1            |
| Keypad            |  1            |
| PIR Sensor        |  1            |
| Servo Motor       |  1            |
| Buzzer            |  1            |
| Red LED           |  1            | 
| Green LED         |  1            |
| Resisitors        |  4            |
