Date,Salinity (ppt),DissolvedOxygen (mg/L),pH,SecchiDepth (m),WaterDepth (m),WaterTemp (C),AirTemp (C)
1989-05-11,,,7.5,0.3,0.9,17.0,-17.77777778
1989-05-18,,12.0,7.5,0.2,0.6,17.5,20.5
1989-05-25,,,8.0,0.4,0.8,23.0,25.0
1989-06-01,,12.0,8.0,0.4,0.9,25.5,29.0
1989-07-11,,,8.5,0.3,0.9,28.5,28.0
1989-07-20,,1.6,9.0,0.3,0.9,30.0,32.5
1989-07-27,,6.2,9.0,0.3,0.8,27.0,27.0
1989-08-03,,5.8,9.5,0.2,0.7,25.0,28.0
1989-08-10,,3.2,9.0,0.2,0.3,21.5,22.5
1989-08-17,,7.3,9.0,0.2,0.8,28.0,29.0
1989-08-31,,7.1,9.0,0.2,0.8,28.0,28.0
1989-09-14,,6.0,7.5,0.3,0.9,26.0,26.0
1989-10-25,,7.8,8.5,0.2,0.5,15.0,19.0
1989-10-31,,,7.5,0.2,0.7,21.5,22.0
1989-11-20,,,8.0,0.2,1.0,8.5,14.0
1989-11-27,,10.3,7.5,0.2,0.6,9.0,4.0
1989-12-11,,10.2,7.0,0.2,0.4,3.0,3.0
1990-01-03,,11.9,7.5,0.2,0.6,3.0,5.0
1990-01-08,,10.8,7.5,0.2,0.4,7.0,7.5
1990-01-22,1.0,9.7,7.5,0.15,0.65,10.0,12.0
1990-01-30,,10.8,7.5,0.2,0.7,9.0,13.0
1990-02-07,3.4,10.8,7.5,0.2,0.6,10.0,10.0
1990-02-12,3.2,10.6,7.0,0.2,0.7,10.0,9.0
1990-02-20,4.2,11.6,7.5,0.15,0.39,5.0,5.0
1990-02-27,2.8,13.8,7.0,0.5,1.5,2.5,1.0
1990-03-05,2.9,11.6,7.0,0.2,0.4,7.0,8.5
1990-03-12,2.9,9.0,7.0,0.15,0.69,17.0,21.0
1990-03-19,2.8,7.8,7.0,0.22,0.92,15.0,14.0
1990-03-26,3.0,10.8,7.0,0.25,0.4,9.5,9.0
1990-04-02,1.8,9.6,8.0,0.15,0.7,5.0,15.0
1990-04-09,4.1,10.8,7.0,0.25,0.78,11.0,12.0
1990-04-16,2.5,9.7,7.0,0.25,0.72,15.0,14.0
1990-04-23,2.8,10.7,7.0,0.25,0.59,15.0,15.0
1990-04-30,3.2,10.0,7.0,0.88,1.3,18.0,16.0
1990-05-07,4.5,8.9,7.0,0.25,0.75,17.0,18.0
1990-05-14,3.7,8.4,7.0,0.32,1.0,20.0,19.0
1990-05-21,2.9,,7.0,0.25,0.99,22.0,24.5
1990-05-29,2.1,8.9,7.0,0.375,0.95,19.0,20.0
1990-06-04,3.5,6.9,7.0,0.4,1.22,24.0,25.0
1990-06-11,3.2,7.9,7.0,0.35,0.75,24.0,22.0
1990-06-16,3.2,7.7,7.0,0.32,0.62,23.5,20.0
1990-06-24,3.8,7.9,7.0,0.35,0.91,26.0,26.0
1990-07-02,3.7,7.8,7.0,0.35,0.78,24.0,23.5
1990-07-09,4.2,7.5,7.5,0.3,0.82,26.0,26.5
1990-07-16,3.9,7.5,7.0,0.375,1.25,26.5,-17.77777778
1990-07-26,4.2,6.9,7.75,0.375,0.48,27.0,26.0
1990-08-06,4.2,7.7,8.0,0.4,0.98,26.0,26.0
1990-08-13,4.2,7.8,8.0,0.35,0.82,27.0,27.0
1990-08-27,4.2,8.9,8.0,0.35,0.94,27.0,28.5
1990-09-04,2.9,8.1,8.0,0.25,0.68,23.0,24.0
1990-09-17,2.4,8.8,8.0,0.25,0.78,21.0,18.0
1990-10-15,3.5,8.2,8.0,0.3,0.93,23.0,22.0
1990-10-29,0.7,12.5,8.0,0.1,0.38,9.0,10.0
1990-12-17,0.5,11.05,7.5,0.25,0.6,8.0,8.0
1991-01-03,0.5,11.9,7.5,0.25,0.78,9.0,11.0
1991-01-07,0.7,11.8,8.0,0.2,0.39,9.0,8.0
1991-01-14,0.4,12.2,8.0,0.2,0.65,4.5,4.0
1991-01-24,0.5,13.2,7.5,0.2,0.65,4.5,4.5
1991-02-04,0.9,,7.5,0.25,0.7,9.0,10.5
1991-02-11,0.7,11.1,7.5,0.3,0.41,7.5,8.0
1991-02-21,1.2,10.8,7.5,0.2,0.72,12.0,10.5
1991-02-25,0.7,11.8,7.5,0.2,0.28,8.0,8.0
1991-03-04,1.2,10.0,7.5,0.2,1.6,15.0,16.0
1991-03-11,0.4,12.9,7.5,0.15,0.35,6.0,4.0
1991-03-18,,9.95,7.7,0.25,0.69,11.0,14.0
1991-03-25,0.0,9.8,8.0,0.275,0.94,14.0,13.0
1991-04-04,1.2,10.7,8.0,0.32,0.78,13.0,14.0
1991-04-08,2.1,8.7,8.0,0.32,0.83,19.0,21.0
1991-04-15,1.2,8.9,7.5,0.32,0.52,14.0,15.5
1991-04-22,0.9,9.75,7.5,0.2,0.55,12.5,13.0
1991-04-29,2.4,8.3,7.5,0.35,0.8,20.5,18.0
1991-05-06,2.6,8.0,7.5,0.35,0.95,21.0,23.5
1991-05-20,1.3,9.5,7.5,0.3,0.5,15.5,15.0
1991-06-10,3.0,6.9,7.5,0.3,0.7,23.0,26.0
1991-06-17,3.8,6.8,7.5,0.325,1.09,26.0,27.0
1991-06-26,2.8,8.1,7.5,0.25,0.7,21.0,21.5
1991-07-09,1.8,7.8,7.5,0.35,0.95,28.0,29.5
1991-07-15,0.0,8.0,7.5,0.99,0.375,27.5,28.0
1991-07-25,,7.8,7.0,0.4,0.925,29.0,29.0
1991-08-02,0.7,8.0,7.5,0.35,1.025,24.5,26.5
1991-08-09,,8.4,8.0,0.35,1.025,27.0,29.0
1991-08-16,,8.8,8.0,0.38,1.01,25.0,26.0
1991-08-23,,7.8,8.0,0.375,0.88,26.0,28.0
1991-08-30,,7.8,8.0,,,26.0,27.5
1991-09-06,,7.7,8.0,0.375,0.9,25.0,24.5
1991-09-13,,8.2,8.0,0.2,0.37,22.5,25.0
1991-09-23,1.8,8.5,8.0,0.31,0.52,20.0,21.0
1991-10-04,3.5,7.7,7.5,0.28,0.7,21.0,22.0
1991-10-17,9.0,9.7,7.5,0.2,0.65,13.0,11.0
1991-10-31,2.5,9.2,7.5,,1.5,13.0,15.0
1991-11-07,4.7,10.2,7.7,0.25,0.75,13.0,13.5
1991-11-14,6.2,11.3,7.0,0.15,0.8,12.0,13.5
1991-11-21,2.6,9.1,7.0,0.15,0.85,17.0,19.5
1991-11-29,3.3,10.8,7.5,0.25,0.6,12.0,15.0
