id,created_at,text,location
1083193473539420160,2019-01-10 02:47:03,@CIBC please explain to me why I want to remain an #aventura card holder. I called the travel concierge number to b… https://t.co/RWeLdF1pyv,Canada
1083191479215026176,2019-01-10 02:39:08,"RT @CIBCLiveLabs: We are pleased to announce, @CIBC Innovation Banking has provided debt financing for @callruby in support of their acquis…","Oshawa, Ontario"
1083184422709575683,2019-01-10 02:11:05,CIBC World Markets Inc. Decreases Holdings in ING Groep NV (NYSE:ING) - Fairfield Current  https://t.co/1n3VHLsA6e,The Netherlands
1083182915826126848,2019-01-10 02:05:06,Le patron de la Banque @cibc s’attend à un ralentissement des prêts hypothécaires en 2019. #hypothèque #banque… https://t.co/Plonzy8ezV,Montréal
1083177871881818112,2019-01-10 01:45:03,Your home is a valuable asset. Use your equity to help pay for major purchases and get more financial flexibility.… https://t.co/I1aDmDAbcn,"Lower Mainland, BC"
1083176191450849280,2019-01-10 01:38:23,Both #CIBC and #BMO ads at the Chicago Black Hawk arena.,Northern Virginia
1083174618989555712,2019-01-10 01:32:08,Finally seeing this!! And with 150 other LGBTQ+ Christians here for #qconf19!! @ CIBC Theatre https://t.co/sbjR3lSaGR,Indianapolis
1083174442828623874,2019-01-10 01:31:26,I checked in at CIBC Theatre on #Yelp https://t.co/Gu2fiIUvhY,"Chicago, IL"
1083173956671045633,2019-01-10 01:29:30,"RT @AmedeoTarnaucea: CIBC refunds customers who were ‘incorrectly charged,’ possibly since 2003 - NEWS 1130 https://t.co/RqYmG07aPx @cibc…","Comox Valley, BC"
1083172009196937216,2019-01-10 01:21:46,"RT @AmedeoTarnaucea: CIBC refunds customers who were ‘incorrectly charged,’ possibly since 2003 - NEWS 1130 https://t.co/RqYmG07aPx @cibc…",Vancouver Canada
1083168730518040576,2019-01-10 01:08:44,America: The Musical Midwest edition @ CIBC Theatre https://t.co/GRghBcb8XK,"Blacksburg, VA"
1083167472738459648,2019-01-10 01:03:44,Y'know what @city_whitehorse should consider? Heated bus stops. Just the two transfer point stops at the Westmark and CIBC.,"Whitehorse, Yukon, Canada"
1083167406317625344,2019-01-10 01:03:28,"RT @theHallowedgold: $WEED $CGC EOD Net house.  This one is a beauty.  Anon and CIBC buying, Big 3 other CDN banks selling.   This turn aro…",
1083163887011151872,2019-01-10 00:49:29,@theHallowedgold This is great - thanks. Can you help me understand why Anon and CIBC buying and the other three bi… https://t.co/sqsfCywwfZ,
1083156749325139969,2019-01-10 00:21:07,RT @markrmcqueen: .@Expensify and TripActions Announce Strategic Partnership https://t.co/xWS6SZpfFW @CIBC Innovation Banking @OpenViewVent…,"Toronto, Ontario"
1083155762707394560,2019-01-10 00:17:12,RT @markrmcqueen: .@CIBC Innovation Banking provides debt financing to Ruby Receptionists https://t.co/d8pzNedntr @callruby @UpdataPartners…,"Toronto, Ontario"
1083152911163637760,2019-01-10 00:05:52,@cibc Still not receiving the #CIBC #DoubleDouble #Visa Card Free Weekends coupon. Multiple calls into the CIBC and… https://t.co/hbaOKCq9qh,
1083151698925776896,2019-01-10 00:01:03,"RT @theHallowedgold: $APHA EOD Net house.  Much like $WEED this looks beautiful to me.  CIBC and Anonymous buying big, sellers are three Ca…",Okanagan-Similkameen
